Name,Team,Pos,PA,GROOVE,Damage/BBE,Selectivity (%),Hittable Pitch Take (%),Chase (%),Z-Contact (%),Whiff vs. Secondaries (%),Z-Swing (%),Zone (%)
David García,MIL,C,1,-0.58,0.0,50.0,50.0,0.0,100.0,0.0,50.0,100.0
Daniel Guilarte,MIL,SS,2,-0.58,0.0,85.7,25.0,25.0,,,0.0,20.0
Nick Pratto,TEX,1B,1,-0.58,0.0,50.0,50.0,0.0,100.0,0.0,50.0,100.0
Colby Jones,ATL,SS,3,-0.58,0.0,66.7,11.1,11.1,50.0,66.7,80.0,38.5
Gabriel Arias,NYM,3B,149,-0.58,40.9,55.4,21.8,36.3,68.8,52.4,69.9,47.6
Christian Walker,HOU,1B,506,-0.58,37.1,57.8,18.2,31.7,85.3,36.4,73.2,45.5
Myles Straw,TOR,CF,248,-0.59,36.2,60.2,29.1,24.3,91.3,20.5,58.1,50.9
Nolan Arenado,AZ,3B,471,-0.6,35.3,64.1,23.8,30.9,86.0,30.5,62.9,45.9
LaMonte Wade Jr.,HOU,LF,100,-0.6,42.7,65.8,23.0,19.4,88.4,25.0,59.7,47.2
Nick Loftin,KC,3B,322,-0.6,44.0,64.3,25.5,24.8,90.2,28.7,56.8,49.4
Travis Bazzana,CLE,2B,398,-0.6,38.9,62.4,22.4,25.8,86.1,36.2,64.1,47.9
Anthony Volpe,NYY,SS,194,-0.6,37.6,60.9,22.1,24.0,84.5,24.2,65.8,49.5
Patrick Bailey,CLE,C,271,-0.61,34.8,57.4,22.1,31.6,83.7,30.9,70.8,47.9
Mauricio Dubón,ATL,LF,494,-0.61,29.0,56.0,20.4,36.8,91.7,17.6,72.3,46.1
Willi Castro,COL,2B,440,-0.62,32.9,56.3,19.4,37.5,82.9,34.2,74.1,44.9
Connor Wong,BOS,C,201,-0.62,35.8,60.3,25.2,31.4,87.8,35.5,65.0,47.7
Kyle Higashioka,TEX,C,193,-0.62,38.2,62.9,24.4,31.3,87.2,39.3,58.4,48.8
Joey Ortiz,MIL,SS,320,-0.63,37.8,60.4,27.9,31.4,90.8,25.6,58.7,49.7
Vaughn Grissom,LAA,2B,323,-0.63,35.1,56.6,26.0,31.5,90.5,25.1,65.9,50.5
Kaelen Culpepper,MIN,SS,40,-0.64,59.4,58.2,32.9,43.4,88.1,28.6,56.8,47.1
Santiago Espinal,LAD,3B,69,-0.64,30.4,54.7,28.5,33.9,90.6,11.1,64.9,52.0
Donovan Walton,ATH,2B,169,-0.64,37.3,56.6,17.1,28.0,87.3,34.5,72.4,50.7
Paul DeJong,NYY,3B,10,-0.64,0.0,53.8,22.2,17.6,80.0,14.3,78.9,63.3
Tony Santa Maria,TB,3B,1,-0.64,0.0,66.7,0.0,0.0,50.0,100.0,100.0,50.0
Mike Tauchman,NYM,RF,4,-0.65,0.0,66.7,0.0,40.0,71.4,33.3,77.8,52.9
Ben Cowles,CHC,3B,4,-0.65,0.0,72.7,20.0,30.0,60.0,0.0,62.5,44.4
Trea Turner,PHI,SS,555,-0.65,40.2,57.2,22.0,34.2,87.0,34.3,69.1,47.5
Angel Abreu,CLE,SS,2,-0.65,0.0,57.1,20.0,20.0,66.7,0.0,75.0,50.0
Jacob Reimer,NYM,3B,4,-0.66,0.0,60.0,0.0,36.4,66.7,33.3,75.0,44.4
Tyler Freeman,COL,RF,288,-0.66,38.9,55.2,22.5,30.0,91.9,17.0,72.0,49.0
Ben Williamson,TB,2B,279,-0.66,40.3,64.0,29.1,31.5,91.1,26.5,55.8,48.1
Eugenio Suárez,CIN,DH,394,-0.66,38.6,60.2,23.9,29.7,80.9,48.1,64.9,47.1
Will Wagner,SD,DH,44,-0.67,59.4,66.7,23.8,24.0,91.5,26.5,61.8,43.4
Grant McCray,SF,CF,47,-0.67,43.8,67.2,24.4,26.7,75.0,45.7,58.5,41.8
Isiah Kiner-Falefa,BOS,2B,143,-0.68,40.3,60.2,26.8,33.9,91.6,26.5,64.2,46.9
AJ Salgado,NYM,3B,3,-0.68,0.0,50.0,16.7,16.7,100.0,16.7,85.7,70.0
Jacob Gonzalez,PIT,SS,176,-0.69,27.7,49.6,20.2,39.8,87.4,19.5,76.1,51.0
Hyeseong Kim,LAD,SS,135,-0.69,42.1,56.1,26.2,29.5,87.8,32.8,65.2,51.4
Miguel Amaya,CHC,C,217,-0.69,36.4,62.3,20.4,29.0,83.5,34.4,66.7,44.7
Konnor Griffin,PIT,SS,250,-0.69,40.7,59.0,23.3,38.8,82.2,40.0,67.4,45.6
Trey Mancini,LAA,1B,21,-0.7,29.4,50.0,16.7,34.3,80.0,18.2,81.1,53.6
Evan Carter,TEX,CF,369,-0.7,42.9,63.6,24.9,19.9,82.6,37.9,60.2,50.5
Esteury Ruiz,MIA,RF,180,-0.71,42.9,60.0,22.3,32.4,79.3,36.0,66.4,45.7
Nick Solak,SD,1B,14,-0.71,50.0,58.3,22.2,38.9,100.0,25.0,58.8,51.5
Carter Cunningham,TOR,OF,3,-0.71,0.0,55.6,16.7,33.3,75.0,0.0,66.7,50.0
LuJames Groover,AZ,1B,54,-0.72,38.6,60.1,28.9,19.8,95.6,25.6,60.7,54.1
Jonathan Martinez,CLE,2B,2,-0.72,,83.3,37.5,16.7,100.0,,25.0,44.4
Davis Schneider,TOR,LF,146,-0.72,38.7,64.9,24.9,20.3,81.7,28.3,57.3,48.1
Joey Meneses,ATH,1B,29,-0.72,55.0,65.3,23.8,34.8,88.0,25.0,67.6,46.2
Jeff McNeil,ATH,2B,388,-0.72,29.4,51.0,15.6,33.8,92.8,19.7,82.4,49.0
Brendan Donovan,SEA,3B,164,-0.73,35.6,61.0,24.6,23.4,90.4,25.2,66.1,48.6
Michael Massey,KC,2B,352,-0.74,33.6,56.3,25.0,39.2,87.4,25.9,67.2,47.7
Nic Kent,COL,SS,3,-0.74,0.0,55.6,16.7,16.7,60.0,25.0,83.3,66.7
Bryan Torres,STL,LF,123,-0.74,32.2,58.2,28.5,28.6,86.3,24.1,62.9,50.4
Matt Chapman,SF,3B,357,-0.74,34.5,61.0,24.0,26.2,86.0,24.1,63.2,49.6
Jared Triolo,PIT,SS,299,-0.74,41.4,61.0,26.5,25.0,88.0,29.8,64.4,50.3
Jose Cordova,COL,C,2,-0.74,0.0,66.7,50.0,33.3,100.0,0.0,33.3,60.0
Ezequiel Duran,TEX,SS,456,-0.75,33.0,55.0,24.1,36.1,85.8,30.9,69.1,46.8
Joey Loperfido,HOU,LF,126,-0.75,41.5,60.2,22.5,29.1,80.8,34.4,67.1,49.9
Bryan De La Cruz,PHI,RF,45,-0.75,40.0,52.8,26.0,40.0,92.5,27.3,67.1,50.3
Romy Gonzalez,BOS,DH,73,-0.76,42.1,57.1,17.5,32.9,82.0,40.0,75.2,46.3
Jonah Heim,ATH,C,305,-0.76,32.9,59.6,23.3,32.7,85.3,25.6,67.7,48.2
Jonah Cox,SF,CF,42,-0.76,27.0,50.0,27.5,40.7,59.3,38.7,73.8,50.6
Daniel Vellojin,TB,C,3,-0.77,0.0,50.0,14.3,33.3,100.0,0.0,66.7,69.2
Antonio Jimenez,NYM,SS,4,-0.77,0.0,62.5,16.7,18.2,71.4,100.0,70.0,52.6
Leody Taveras,BAL,CF,394,-0.77,34.2,61.4,20.8,31.5,84.1,28.1,67.8,46.2
Carlos Pérez,HOU,C,4,-0.77,0.0,62.5,16.7,66.7,100.0,50.0,42.9,63.6
Ildemaro Vargas,AZ,1B,399,-0.77,40.5,58.4,28.0,39.6,92.1,18.5,62.3,47.3
Austin Wells,NYY,C,291,-0.77,35.4,59.6,23.2,29.2,82.7,41.6,66.6,48.3
Pedro Ramírez,CHC,2B,152,-0.78,37.6,56.9,24.3,32.2,87.3,27.0,70.3,49.0
Michael Toglia,CIN,1B,26,-0.78,34.8,59.7,33.9,19.0,84.4,46.7,59.3,57.4
Steward Berroa,PHI,RF,7,-0.78,25.0,40.0,60.0,50.0,88.9,14.3,60.0,65.2
Kevin Kilpatrick Jr.,ATL,OF,6,-0.79,0.0,37.5,40.0,0.0,100.0,0.0,71.4,100.0
Daz Cameron,TOR,RF,6,-0.79,66.7,81.8,10.0,22.2,100.0,0.0,66.7,50.0
Tristan Peters,CWS,CF,378,-0.79,34.0,52.8,19.4,32.9,83.9,26.9,75.8,50.6
Yoán Moncada,LAA,3B,141,-0.8,38.5,65.5,27.5,22.3,82.7,38.7,57.1,48.9
Joey Bart,CWS,C,133,-0.8,40.6,60.6,22.3,33.7,88.2,36.2,65.0,46.0
Patrick Wisdom,SEA,3B,43,-0.81,31.0,49.1,21.7,39.7,72.6,48.3,73.8,51.9
Daniel Schneemann,CLE,CF,284,-0.81,34.8,57.6,22.6,33.4,85.4,36.2,66.8,48.8
MJ Melendez,NYM,DH,144,-0.81,36.8,64.3,19.2,29.5,76.6,30.4,67.4,45.4
Alex Madera,CHC,SS,3,-0.81,0.0,55.6,28.6,16.7,75.0,0.0,66.7,54.5
Mickey Moniak,COL,LF,340,-0.81,32.0,54.0,17.5,41.2,86.2,33.8,75.8,46.8
Victor Bericoto,SF,LF,83,-0.81,28.0,54.8,26.6,42.2,90.1,38.6,70.1,46.6
Brody Moore,STL,SS,4,-0.82,0.0,71.4,16.7,42.9,75.0,100.0,66.7,50.0
Ronny Cruz,WSH,SS,1,-0.82,0.0,75.0,25.0,25.0,100.0,50.0,50.0,40.0
Miguel Hernández,STL,SS,1,-0.83,,80.0,0.0,25.0,0.0,,50.0,33.3
Miguel Andujar,SD,DH,261,-0.83,32.9,54.7,22.7,40.2,89.6,25.4,68.5,48.3
Jaiden Lo Re,BAL,SS,2,-0.83,0.0,100.0,33.3,40.0,,100.0,0.0,37.5
Luis Rengifo,SD,LF,335,-0.83,42.4,58.4,20.6,31.5,88.4,21.9,70.7,45.4
Zach Neto,LAA,SS,557,-0.84,36.6,59.6,20.9,37.2,83.0,44.3,69.8,43.6
Eddys Leonard,SF,SS,8,-0.84,27.3,52.0,18.8,45.5,75.0,42.9,75.0,42.1
Christian Franklin,BAL,CF,34,-0.84,44.0,64.0,22.3,21.3,83.7,40.0,64.2,44.1
Owen Miller,CHC,2B,4,-0.84,0.0,81.8,18.2,18.2,50.0,66.7,50.0,26.7
Victor Scott II,STL,CF,190,-0.85,35.7,56.7,21.4,22.1,83.7,31.9,68.4,53.7
Israfell Bautista,TB,3B,2,-0.85,,50.0,50.0,0.0,100.0,,66.7,100.0
Brady Day,PHI,SS,1,-0.85,0.0,100.0,50.0,0.0,100.0,,50.0,66.7
James Nelson,HOU,3B,1,-0.85,,100.0,50.0,50.0,,,0.0,33.3
Jonny DeLuca,TB,RF,260,-0.85,32.7,55.9,20.2,35.9,86.9,30.0,71.4,48.2
Yiddi Cappe,MIA,SS,1,-0.85,0.0,100.0,50.0,50.0,,,0.0,33.3
Austin Hedges,CLE,C,194,-0.85,38.8,62.7,22.4,25.9,86.8,30.2,63.7,48.8
Antonio Anderson,BOS,SS,2,-0.86,0.0,50.0,40.0,25.0,100.0,0.0,60.0,62.5
Alek Thomas,AZ,CF,110,-0.86,32.6,55.6,21.6,41.8,86.0,27.6,72.3,47.5
Luis Arraez,PHI,2B,535,-0.86,28.9,55.2,28.6,33.1,94.0,8.3,64.6,51.8
Adrian Del Castillo,AZ,DH,192,-0.87,30.5,60.5,21.4,29.7,84.8,31.5,68.7,47.6
Yohairo Cuevas,NYM,OF,1,-0.87,0.0,50.0,33.3,0.0,100.0,0.0,66.7,60.0
Jose Fernandez,AZ,DH,189,-0.88,41.7,61.1,28.5,36.6,87.8,33.3,58.6,47.7
Jimmy Crooks,STL,C,132,-0.88,42.7,58.8,24.6,37.7,77.7,45.7,66.1,44.9
Edmundo Sosa,PHI,LF,212,-0.89,32.9,50.1,25.1,53.5,87.5,33.3,71.3,44.1
Brice Matthews,HOU,CF,231,-0.89,35.5,58.9,24.0,24.6,76.2,40.8,67.2,49.3
Jake Cronenworth,SD,2B,298,-0.89,36.9,60.3,23.6,28.2,90.0,32.1,64.5,48.9
Edgar Quero,CWS,C,218,-0.9,34.1,55.9,18.1,26.0,88.6,18.1,75.4,49.2
Cristian Pache,NYM,OF,11,-0.91,9.1,75.8,21.9,30.3,72.7,40.0,55.0,38.5
Garrett Hampson,CIN,2B,7,-0.91,0.0,62.5,28.6,16.7,70.0,50.0,62.5,53.3
Anderson Fermin,BOS,SS,2,-0.91,0.0,62.5,16.7,0.0,33.3,0.0,75.0,44.4
Pedro Pagés,STL,C,186,-0.91,31.9,58.8,20.9,36.8,86.0,37.0,65.1,48.4
Daniel Susac,SF,C,166,-0.92,32.8,54.8,22.1,42.2,88.5,33.3,73.0,46.1
Cade Fergus,PHI,OF,1,-0.92,0.0,100.0,25.0,40.0,,,0.0,16.7
Ronny Simon,PIT,2B,34,-0.92,21.3,51.2,21.4,40.3,86.4,24.1,77.2,44.2
Clay Dungan,SD,2B,5,-0.92,0.0,71.4,16.7,20.0,25.0,100.0,50.0,44.4
Conner Capel,COL,LF,5,-0.92,0.0,61.5,20.0,20.0,85.7,50.0,77.8,50.0
Denzer Guzman,LAA,3B,193,-0.93,33.9,55.7,20.8,33.5,84.5,31.0,71.4,49.9
Jesus Rodriguez,SF,C,62,-0.93,40.7,54.9,20.0,33.6,82.4,30.8,72.5,47.2
Harrison Bader,SF,CF,111,-0.93,32.4,55.5,25.0,38.7,80.9,46.0,69.1,48.5
Rob Refsnyder,SEA,DH,134,-0.93,31.8,61.9,24.0,25.6,84.0,34.4,64.5,47.8
Connor Norby,COL,2B,265,-0.93,38.8,56.8,20.1,27.4,79.6,40.3,73.1,48.0
Aramis Garcia,AZ,C,22,-0.94,29.4,47.2,28.6,37.8,77.8,47.1,69.2,52.0
Jake Rogers,CWS,C,140,-0.95,39.5,64.0,27.0,24.0,80.6,40.2,60.4,48.9
Rayne Doncon,MIN,3B,2,-0.95,0.0,50.0,33.3,0.0,100.0,0.0,75.0,66.7
Cavan Biggio,HOU,1B,8,-0.95,0.0,64.0,36.0,20.0,90.0,25.0,52.6,54.3
Caleb Roberts,AZ,OF,3,-0.95,0.0,53.8,22.2,36.4,100.0,0.0,71.4,43.8
Dylan Moore,PHI,CF,21,-0.96,18.2,68.4,21.2,25.4,77.8,45.5,58.7,43.0
Nick Castellanos,SD,RF,129,-0.96,28.8,53.3,19.0,41.0,78.7,41.5,78.0,45.3
Eric Wagaman,NYM,1B,51,-0.96,36.4,61.3,32.0,27.2,73.0,27.0,58.3,48.9
Francisco Acuna,SD,SS,3,-0.96,0.0,80.0,50.0,0.0,100.0,0.0,33.3,66.7
Ryan Kreidler,MIN,SS,223,-0.97,38.3,53.6,18.6,29.0,80.8,33.7,76.4,51.3
Marcos Castañon,SD,SS,4,-0.97,0.0,60.0,14.3,33.3,100.0,100.0,80.0,41.7
Diego Mosquera,NYM,SS,1,-0.98,0.0,66.7,0.0,33.3,100.0,,100.0,33.3
Wenceel Pérez,DET,RF,184,-0.98,31.0,61.4,20.6,28.9,88.9,21.3,66.8,49.3
Marco Dinges,MIL,C,3,-0.98,0.0,50.0,50.0,50.0,100.0,,66.7,75.0
Gio Urshela,MIN,3B,2,-0.98,0.0,100.0,50.0,50.0,100.0,0.0,50.0,50.0
Jonathan India,KC,2B,66,-0.98,41.2,63.4,27.1,18.7,82.9,37.1,57.1,50.4
Daulton Varsho,HOU,CF,424,-0.99,31.0,55.7,21.5,36.4,87.7,22.5,72.6,45.7
Jeremiah Jackson,BAL,2B,252,-0.99,31.7,48.8,19.1,37.4,84.6,34.1,78.3,51.3
Luis Guanipa,ATL,OF,3,-0.99,0.0,37.5,25.0,25.0,100.0,0.0,85.7,87.5
Sal Frelick,MIL,RF,320,-0.99,33.6,60.3,27.4,24.5,95.5,10.8,60.6,51.3
Jase Bowen,SD,RF,89,-0.99,45.1,58.1,30.6,43.5,74.4,51.4,61.9,47.0
Jared Oliva,SF,CF,11,-1.0,28.6,56.5,31.6,31.6,85.7,60.0,70.0,51.3
Ryan Cesarini,CLE,OF,3,-1.0,0.0,100.0,33.3,25.0,66.7,,50.0,60.0
Tanner Murray,CWS,LF,35,-1.01,35.7,62.5,19.4,30.3,73.7,40.0,70.4,45.8
Keibert Ruiz,WSH,C,290,-1.01,32.4,55.7,23.2,36.8,94.3,19.2,67.2,50.5
Matt Shaw,CHC,RF,160,-1.01,29.7,60.9,28.9,35.2,88.4,20.1,60.9,47.2
Brett Sullivan,COL,C,190,-1.01,32.8,52.2,24.5,33.9,90.2,20.5,71.6,50.4
José Caballero,NYY,SS,370,-1.01,30.7,57.3,23.1,36.3,80.5,29.0,66.5,47.2
Starling Marte,KC,RF,173,-1.02,32.5,53.1,23.7,35.4,84.0,34.0,70.3,51.0
Anthony DePino,CWS,3B,2,-1.02,0.0,44.4,20.0,33.3,100.0,0.0,85.7,63.6
Cal Raleigh,SEA,C,402,-1.02,28.2,61.4,19.8,36.1,78.9,34.2,70.5,42.8
Salvador Perez,KC,DH,497,-1.02,28.7,56.4,21.1,45.6,87.5,28.0,73.2,41.3
Ryan Galanie,CWS,3B,5,-1.02,0.0,60.0,0.0,20.0,66.7,50.0,90.0,52.6
Blake Dunn,CIN,CF,154,-1.02,38.0,56.3,29.6,28.7,88.8,33.0,64.2,51.3
Zach McKinstry,DET,2B,356,-1.02,29.9,56.1,24.0,28.2,93.6,21.3,67.7,51.8
Josh Lowe,LAA,LF,264,-1.02,27.6,51.0,21.3,38.7,76.6,33.1,76.4,48.0
Jorbit Vivas,WSH,3B,274,-1.03,36.8,57.9,16.0,28.1,93.5,27.2,75.9,46.0
Ramón Urías,STL,3B,75,-1.03,34.4,57.8,20.7,24.4,82.8,27.6,71.0,49.8
Kyle Isbel,KC,CF,236,-1.03,33.5,59.5,28.9,34.5,92.0,22.0,61.1,48.3
Curtis Washington Jr.,SEA,CF,2,-1.04,,80.0,33.3,16.7,0.0,100.0,50.0,25.0
Gabriel Gonzalez,MIN,RF,4,-1.04,40.0,60.0,10.0,0.0,100.0,,100.0,44.4
Eric Yang,CHC,C,2,-1.04,0.0,66.7,33.3,0.0,100.0,0.0,80.0,71.4
Luca Tresh,KC,C,4,-1.04,0.0,83.3,28.6,44.4,66.7,,60.0,38.5
David Hamilton,MIL,3B,316,-1.05,33.3,59.6,23.7,30.4,84.6,31.8,61.6,49.2
Nicandro Aybar,TB,3B,1,-1.05,0.0,75.0,0.0,40.0,100.0,,100.0,16.7
Max Kepler,AZ,LF,123,-1.06,30.2,58.4,17.4,37.1,86.9,28.5,70.5,47.0
Kahlil Watson,CLE,RF,91,-1.06,39.7,53.4,19.9,35.3,77.0,35.7,73.5,49.0
Eric Haase,SF,C,84,-1.06,40.7,59.7,26.4,36.3,75.3,50.7,63.3,46.4
James McCann,AZ,C,127,-1.07,32.4,59.8,25.6,39.0,88.2,38.5,63.2,48.2
Brayan Rocchio,CLE,SS,488,-1.07,34.4,57.7,21.9,32.3,87.9,29.5,68.9,47.3
Kevin Villavicencio,NYM,SS,2,-1.08,0.0,66.7,0.0,50.0,100.0,0.0,100.0,25.0
Eli Lovich,CHC,OF,3,-1.08,,62.5,28.6,37.5,66.7,50.0,60.0,45.5
Nolan Gorman,STL,3B,229,-1.08,32.2,58.1,20.7,31.6,74.6,43.9,70.2,46.9
Thomas Saggese,STL,LF,89,-1.08,28.0,54.9,22.3,36.3,80.2,28.7,73.8,46.3
Matt Wallner,MIN,RF,144,-1.08,43.0,57.3,19.4,32.1,72.3,52.2,74.7,48.8
Nathan Lukes,TOR,RF,341,-1.09,29.2,57.1,26.3,34.8,88.0,17.4,65.0,48.7
Jose Altuve,HOU,2B,433,-1.09,41.5,62.4,24.3,36.1,87.3,25.9,62.7,44.4
Harry Ford,WSH,C,60,-1.1,34.7,64.0,21.4,14.7,77.0,33.3,66.4,50.6
Bobby Blandford,ATH,OF,1,-1.12,,50.0,0.0,100.0,100.0,0.0,50.0,66.7
Justin Crawford,PHI,CF,382,-1.13,30.8,53.1,25.1,37.8,88.1,17.6,69.6,50.5
Oswald Peraza,LAA,2B,326,-1.14,33.4,53.0,21.5,37.8,85.5,36.4,74.8,48.3
Alex Call,LAD,LF,163,-1.14,31.5,61.2,24.9,22.9,91.4,14.4,60.9,50.8
Jean Walters,AZ,2B,2,-1.14,0.0,25.0,0.0,50.0,66.7,0.0,100.0,75.0
Jonatan Clase,TOR,LF,25,-1.15,34.8,65.3,24.6,26.7,81.8,30.4,61.1,47.4
Nick Fortes,TB,C,280,-1.15,37.4,56.4,22.6,37.8,88.6,26.4,68.2,47.6
Brock Rodden,SEA,2B,23,-1.15,36.8,64.8,14.8,27.3,71.4,65.0,66.7,43.3
Andrew Pintar,MIA,CF,4,-1.16,0.0,71.4,23.1,36.4,100.0,33.3,40.0,50.0
Riley Unroe,HOU,2B,6,-1.16,0.0,62.5,23.1,16.7,42.9,60.0,70.0,50.0
Ivan Luciano,AZ,C,2,-1.18,0.0,62.5,16.7,16.7,50.0,,80.0,50.0
Leonel Espinoza,CHC,SS,2,-1.18,0.0,33.3,0.0,0.0,100.0,0.0,100.0,100.0
Jose Herrera,TEX,C,3,-1.18,0.0,80.0,33.3,25.0,100.0,50.0,50.0,60.0
Caleb Durbin,BOS,3B,471,-1.18,35.6,58.1,27.3,29.1,89.4,22.8,65.4,50.4
Mike Boeve,MIL,3B,3,-1.18,0.0,66.7,40.0,42.9,100.0,20.0,25.0,57.1
Yonny Hernández,NYM,SS,3,-1.19,0.0,37.5,40.0,25.0,100.0,0.0,71.4,87.5
Braden Shewmake,MIL,SS,91,-1.2,31.1,46.1,28.1,52.6,81.4,27.1,71.3,48.5
Kristian Campbell,BOS,2B,1,-1.2,0.0,60.0,25.0,25.0,50.0,0.0,66.7,50.0
Brett Bateman,TOR,CF,51,-1.2,37.5,56.3,30.1,37.6,87.5,26.7,61.5,48.1
Douglas Hodo III,BAL,OF,3,-1.2,0.0,100.0,33.3,66.7,,100.0,0.0,40.0
Nathan Flewelling,TB,C,2,-1.2,0.0,66.7,33.3,0.0,66.7,50.0,50.0,66.7
Alejandro Osuna,TEX,LF,225,-1.2,40.2,55.6,27.3,31.3,89.9,18.1,64.0,50.2
Luisangel Acuña,CWS,SS,206,-1.21,37.5,56.8,22.1,35.2,86.3,33.9,69.8,46.5
Jorge Polanco,NYM,DH,152,-1.22,25.9,64.0,22.0,30.0,89.0,29.2,62.2,47.7
Jacob Wilson,ATH,SS,344,-1.22,29.2,53.5,22.5,42.0,93.6,15.9,70.4,48.6
Yerlin Luis,CLE,OF,2,-1.23,0.0,100.0,16.7,40.0,100.0,,25.0,44.4
Anderson De Los Santos,BAL,SS,1,-1.23,,66.7,50.0,0.0,100.0,,33.3,60.0
C.J. Stubbs,TOR,C,1,-1.23,0.0,44.4,0.0,20.0,80.0,0.0,100.0,50.0
Drew Millas,WSH,C,159,-1.23,32.1,62.7,26.0,28.6,86.9,33.6,62.2,48.4
Leo Rivas,SEA,3B,140,-1.24,34.8,64.1,26.1,17.4,83.4,40.2,55.7,51.4
Josh Smith,TOR,2B,195,-1.25,33.9,61.1,25.1,34.8,89.4,29.2,61.9,48.1
Will Simpson,TB,1B,1,-1.25,0.0,66.7,50.0,33.3,100.0,,33.3,50.0
David Fry,CLE,RF,175,-1.26,34.7,65.2,22.7,27.3,78.1,36.1,61.9,46.0
Agustín Ramírez,MIA,C,172,-1.26,35.6,60.3,22.0,27.2,80.2,39.4,69.0,49.1
Henry Davis,PIT,C,264,-1.26,34.4,54.9,17.3,32.1,84.4,28.1,75.9,48.6
Sung-Mun Song,SD,2B,136,-1.27,35.8,63.1,20.7,23.1,82.3,27.7,63.4,49.1
Dyan Jorge,COL,SS,1,-1.27,0.0,66.7,50.0,0.0,100.0,,66.7,60.0
Zach Dezenzo,HOU,LF,83,-1.27,37.7,61.9,30.2,34.3,73.7,41.5,59.0,48.3
Danny Jansen,TEX,C,149,-1.29,30.1,60.9,22.8,24.6,83.7,31.5,64.7,49.9
Ryan Mountcastle,BAL,1B,21,-1.29,17.9,52.7,17.1,39.5,82.8,34.6,76.3,46.9
Blake Perkins,MIL,CF,101,-1.29,32.6,60.7,27.0,28.9,82.4,22.6,59.2,48.1
Tristan Gray,MIN,SS,196,-1.29,29.5,53.3,21.2,39.0,80.2,44.1,74.2,48.3
Brandon Lockridge,MIL,LF,117,-1.3,42.4,57.8,27.1,32.2,82.8,32.7,60.2,50.7
Stuart Fairchild,CLE,CF,33,-1.3,91.7,69.1,16.7,23.7,52.8,56.5,64.3,43.1
Eli White,BOS,RF,173,-1.3,30.8,59.8,19.5,31.3,84.8,33.3,72.9,47.9
Nasim Nuñez,WSH,2B,429,-1.32,30.9,56.7,24.6,24.8,85.9,23.3,68.3,50.5
Juan Brito,CLE,2B,56,-1.32,27.5,60.9,21.5,35.2,81.4,42.3,63.6,46.8
Rodolfo Durán,SD,C,96,-1.33,29.3,60.2,28.2,31.3,84.3,36.2,61.4,47.8
Pavin Smith,AZ,1B,100,-1.33,31.0,60.2,25.3,25.4,87.6,31.7,59.9,51.8
Jihwan Bae,MIL,CF,4,-1.33,100.0,71.4,16.7,50.0,100.0,100.0,66.7,23.1
Sean Keys,TOR,DH,40,-1.33,24.3,57.6,21.6,29.7,81.7,38.5,64.5,50.8
Taylor Walls,TB,SS,357,-1.33,30.3,61.0,23.9,25.6,84.2,29.8,62.2,48.4
Nathan Church,STL,CF,358,-1.34,26.0,52.1,23.1,43.8,83.1,23.8,71.8,46.4
Travis d'Arnaud,LAA,C,59,-1.34,37.5,57.2,19.4,33.9,77.6,42.0,71.0,49.5
Tyler Whitaker,HOU,OF,1,-1.35,,100.0,25.0,40.0,,100.0,0.0,16.7
Ramiro Dominguez,MIN,IF,2,-1.35,0.0,80.0,20.0,33.3,50.0,50.0,66.7,37.5
Lourdes Gurriel Jr.,AZ,LF,189,-1.35,35.6,59.1,23.5,40.0,91.8,35.3,68.0,44.9
Elias Díaz,TEX,C,165,-1.36,29.0,52.9,22.6,38.8,81.6,32.7,72.9,49.0
Cade Doughty,TOR,2B,1,-1.38,,,,100.0,,,,0.0
Andreimi Antunez,TB,SS,2,-1.38,0.0,0.0,,100.0,100.0,0.0,100.0,100.0
José Azócar,ATL,RF,22,-1.38,26.1,48.9,25.8,50.0,84.0,20.0,71.4,47.3
Gavin Conticello,AZ,3B,1,-1.38,0.0,,,,100.0,,100.0,100.0
Justin Johnson,KC,SS,1,-1.38,0.0,,,100.0,,,,0.0
J.J. D'Orazio,LAA,C,1,-1.38,0.0,,,,100.0,,100.0,100.0
José Suárez,STL,OF,1,-1.38,,,,100.0,,,,0.0
Zack Short,NYM,SS,62,-1.38,33.3,62.2,20.0,27.1,81.9,34.2,64.8,47.1
Freili Encarnacion,BOS,SS,1,-1.38,,,,,100.0,,100.0,100.0
Cal Conley,ATL,SS,4,-1.39,0.0,53.8,12.5,22.2,60.0,50.0,83.3,50.0
Logan O'Hoppe,LAA,C,262,-1.4,34.7,58.6,21.7,34.7,87.5,37.1,71.2,45.4
Parker Meadows,DET,CF,45,-1.4,30.0,59.3,30.2,28.0,89.3,25.6,65.9,49.1
Jacob Amaya,AZ,SS,4,-1.4,0.0,56.2,10.0,16.7,50.0,25.0,100.0,42.1
Buddy Kennedy,SF,3B,45,-1.41,26.9,57.7,24.0,28.0,83.1,34.1,67.0,49.7
Kale Fountain,SD,3B,3,-1.41,0.0,71.4,16.7,37.5,50.0,50.0,66.7,30.0
Ceddanne Rafaela,BOS,CF,525,-1.41,30.6,51.2,24.6,44.4,84.6,27.8,71.7,47.5
Trevor Story,BOS,SS,187,-1.43,28.3,57.6,23.3,43.0,80.6,35.6,69.3,45.5
Carlos Narváez,BAL,C,244,-1.43,30.8,52.5,25.5,33.1,78.0,36.4,70.3,50.9
