Name,Team,Pos,PA,GROOVE,Damage/BBE,Selectivity (%),Hittable Pitch Take (%),Chase (%),Z-Contact (%),Whiff vs. Secondaries (%),Z-Swing (%),Zone (%)
Miguel Vargas,CWS,3B,551,1.21,41.5,61.0,19.2,22.2,85.6,19.6,69.2,48.7
Mike Trout,LAA,CF,480,1.2,48.1,65.4,22.8,19.9,88.6,31.5,62.0,47.1
Joe Vetrano,LAD,1B,2,1.18,,80.0,0.0,20.0,100.0,,100.0,20.0
Griffin Conine,MIA,RF,203,1.15,50.9,61.6,20.9,31.6,76.2,46.9,68.4,45.8
Jake Bauers,MIL,1B,464,1.15,48.8,63.3,21.6,20.6,85.0,34.3,63.5,47.8
Ben Rice,NYY,DH,524,1.13,47.1,62.5,22.6,25.9,85.8,31.9,64.7,47.2
Fernando Tatis Jr.,SD,RF,557,1.13,59.2,61.6,20.7,26.2,87.7,33.4,67.4,47.5
Kevin Newman,KC,3B,3,1.08,0.0,88.9,33.3,0.0,100.0,,20.0,41.7
Nick Raposo,SEA,C,1,1.08,0.0,66.7,33.3,33.3,,,0.0,33.3
Paul McIntosh,PHI,C,1,1.08,0.0,66.7,33.3,0.0,100.0,,50.0,66.7
Garrett Howe,CLE,SS,2,1.08,,66.7,33.3,0.0,100.0,,50.0,66.7
Alec Burleson,STL,1B,542,1.07,42.8,56.7,21.0,37.1,84.2,21.3,71.2,46.1
Junior Caminero,TB,3B,548,1.07,48.1,67.5,19.4,29.3,87.3,29.4,63.0,43.1
Will Smith,LAD,C,212,1.06,37.0,62.1,24.8,21.6,91.0,22.0,61.6,49.9
Kyle Schwarber,PHI,DH,549,1.04,49.1,63.8,19.9,25.7,79.8,39.3,66.2,45.3
Oneil Cruz,PIT,CF,298,1.03,55.2,66.8,24.8,31.9,78.0,44.1,58.7,44.0
Juan Baez,MIL,IF,5,1.03,0.0,77.8,12.5,14.3,100.0,0.0,71.4,53.8
Nick Kurtz,ATH,1B,431,1.0,51.8,65.4,19.2,23.4,77.4,38.6,66.4,45.9
Arjun Nimmala,TOR,SS,3,1.0,0.0,85.7,25.0,16.7,100.0,0.0,40.0,50.0
Matt Olson,ATL,1B,561,0.99,35.1,62.0,22.7,27.0,85.1,25.6,65.4,48.7
Casey Schmitt,SF,LF,412,0.99,35.4,54.5,21.0,36.0,90.5,29.7,71.4,49.8
Jack Hurley,AZ,OF,2,0.99,0.0,80.0,20.0,20.0,100.0,0.0,50.0,28.6
Shea Langeliers,ATH,C,419,0.97,38.3,60.3,17.8,31.9,83.8,31.5,71.9,45.0
Jace Jung,DET,3B,15,0.96,19.0,64.6,11.4,13.3,100.0,16.7,70.0,54.5
Nolan Schubart,CLE,OF,3,0.96,0.0,71.4,16.7,18.2,66.7,0.0,50.0,40.0
Jefferson Rojas,CHC,SS,4,0.92,0.0,33.3,0.0,0.0,100.0,0.0,100.0,125.0
Riley Greene,DET,LF,499,0.92,40.3,62.3,17.2,26.1,82.9,37.0,68.9,47.5
Jac Caglianone,KC,RF,464,0.92,45.4,56.9,22.0,38.3,84.7,32.0,72.4,44.9
Dom Nuñez,CLE,C,5,0.91,0.0,81.0,15.0,0.0,66.7,50.0,54.5,42.3
Eduardo Valencia,DET,C,63,0.91,35.5,53.1,19.7,32.8,84.0,29.2,75.2,49.6
Elly De La Cruz,CIN,SS,494,0.91,59.4,64.8,26.3,26.0,81.3,37.4,58.7,47.6
Bobby Witt Jr.,KC,SS,486,0.91,43.2,61.7,23.3,33.4,89.2,28.3,65.8,44.4
Noah Mendlinger,STL,3B,1,0.87,0.0,100.0,0.0,0.0,100.0,,100.0,50.0
Jonny McGill,LAA,OF,1,0.87,0.0,100.0,0.0,50.0,,0.0,,0.0
Drake Baldwin,ATL,C,471,0.86,41.5,58.7,20.4,33.3,87.4,29.3,69.9,46.6
Munetaka Murakami,CWS,1B,401,0.85,58.4,65.1,22.0,22.0,69.9,46.0,62.1,46.6
